#new_text=P134626						
# ID	FORM	SEGM	XPOSTAG	HEAD	DEPREL	MISC
o.1.1	pisan-dub-ba#	pisandubak	N
o.2.1	nig2-ka9-ak	nig2.SZID-ak	N
o.2.2	sze	sze	N
o.2.3	siki	siki	N
o.2.4	i3	i	N
o.2.5	zu2-lum	zulum	N
o.3.1	sza3-gal	szaggal	N
o.3.2	amar	amar	N
o.3.3	gu4	gud	N
o.3.4	apin-na	apin-ak	N.GEN
o.4.1	sze-ba	szeba	N
o.4.2	giri3-se3-ga	jiesiga	N
o.4.3	{gesz}kiri6	{gesz}kiri	N
o.5.1	di4-di4-la	didila	AJ
o.5.2	dumu	dumu	N
o.5.3	ba-usz2	ba-usz-ø	MID.V.3-SG-S
o.5.4	iti	iti	N
o.5.5	1(u)	1(u)	NU
o.5.6	2(disz)-kam	2(disz)-ak-am	NU.GEN.COP-3-SG
o.6.1	sze-numun	szenumun	N
o.6.2	mur-gu4	murgu	N
o.6.3	a2	a	N
o.6.4	lu2	lu	N
o.6.5	hun-ga2	huj-a	AJ
o.7.1	al	al	N
o.7.2	ak	ak	V
o.7.3	u2	u	N
o.7.4	ku5-a	kud-a	AJ
o.8.1	ansze?	ansze	N
o.8.2	gu4	gud	N
o.8.3	gid2-da	gid-a	AJ
o.9.1	a-sza3-ta	aszag-ta	N.ABL
o.9.2	e11?-da#?-bi	ed-ak-bi
o.10.1	sze-ba	szeba	N
o.10.2	erin2	erin	N
o.10.3	sza3-gu4	szagud	N
o.10.4	sza3-sahar	szagsahar	N
o.11.1	mu	mu	N
o.11.2	sze	sze	N
o.11.3	szuku-ba	szukur-bi-ak	N.3-SG-NH-POSS.GEN
o.12.1	dam-gar3	damgar	N
o.12.2	ba-na-bala-a-sze3	ba-n-a-bala-a-esze	MID.L1-SYN.DAT.V.SUB.
r.1.1	sza3	szag	N
r.1.2	5(bur3)	5(bur3)	NU
r.1.3	3(iku)	3(iku)	NU
r.1.4	GAN2	iku	N
r.1.5	gu4?-bi?	gud-bi	N.3-SG-NH-POSS
r.2.1	nig2-ka9-ak	nig2.SZID-ak	N.GEN
r.2.2	udu	udu	N
r.2.3	eme!-gi-ra	emejir-ak	GN.GEN
r.3.1	udu	udu	N
r.3.2	gukkal	gukkal	N
r.4.1	gu2-gar-ra	gu2-gar-a	AJ
r.4.2	{gesz}kiri6	kiri	N
r.4.3	kab2-du11-ga	kabduga	AJ
r.4.4	{gesz}kiri6	kiri	N
r.5.1	a2	a	N
r.5.2	erin2-na	erin-ak	N.GEN
r.5.3	engar	engar	N
r.5.4	sza3#-gu4	szagud	N
r.5.5	sza3-sahar	szagsahar	N
r.6.1	iti	iti	N
r.6.2	1(u)	1(u)	NU
r.6.3	2(disz)-kam	2(disz)-ak-am	NU.GEN.COP-3-SG
r.7.1	im	im	N
r.7.2	szuku	szukur	N
r.7.3	ha-la#-a	hala	AJ
r.8.1	e2	e	N
r.8.2	lugal-ku3-zu	lugalkuzu	PN
r.9.1	u3	u	CNJ
r.9.2	e2	e	N
r.9.3	nin-munus-zi-da	ninmunuszida	PN
r.10.1	i3-gal2	i-jal-ø	FIN.V.3-SG-S
r.11.1	sza3	szag	N
r.11.2	gir2-su{ki}	giros{ki}	SN
r.12.1	ur-me-me	urmeme	PN
r.12.2	szabra	szabra	N
r.13.1	mu	mu	N
r.13.2	{d}szu-{d}[suen	{d}szu{d}[suen	RN
r.13.3	lugal-e	lugal-e	N.ERG
r.13.4	bad3]	bad	N
r.13.5	mar-tu	MAR.TU	N
r.13.6	mu-[ri-iq-ti-id-ni]-im	muriqtidinim	GN
r.13.7	[mu-du3]	mu[-n]-du-ø	VEN.3-SG-H-A.V.3-SG-P
